Equity NF Daily Strategy 1,Equity NB Daily Strategy 1
1648231.767285678,1648231.767285678
1810499.3837931263,1810499.3837931266
1790444.4286874332,1790444.4286874332
1767356.6351902578,1767356.6351902578
1744727.697331471,1744727.6973314707
1722562.2168926983,1722562.2168926983
1700265.7169242508,1700265.7169242508
1677587.9175965255,1677587.9175965257
1650825.0028388696,1650825.0028388696
1624081.986017498,1624081.986017498
1597859.51826082,1597859.51826082
1571700.9796796057,1571700.9796796057
1738333.8195064976,1738333.8195064976
1713217.5763737855,1713217.5763737857
1688238.5887772494,1688238.5887772494
1850688.205507577,1850688.205507577
2008107.382293506,2008107.382293506
1989726.9546178249,1989726.9546178249
1970962.689813024,1970962.6898130241
2130089.28623331,2130089.28623331
2106090.862326716,2106090.862326716
2259498.083775406,2259498.083775406
2236092.727128953,2236092.727128953
2212674.631801172,2212674.631801172
2361065.4120626184,2361065.4120626184
2503554.3317484427,2503554.3317484427
2641209.4775733086,2641209.4775733086
2620933.828367549,2620933.828367549
2601302.101603052,2601302.1016030516
2583048.4908974487,2583048.4908974487
2564886.061625438,2564886.061625438
2546856.6065902305,2546856.6065902305
2533525.389860869,2533525.389860869
2640971.048904011,2640971.048904011
2745433.7705436507,2745433.7705436507
2729261.717910371,2729261.717910371
2713511.7576182373,2713511.7576182373
2701528.31778821,2701528.31778821
2689482.034651521,2689482.034651521
2677130.634487873,2677130.634487873
2664091.2727351794,2664091.2727351794
2651005.571722349,2651005.571722349
2634127.1289016195,2634127.1289016195
2617466.0475875437,2617466.0475875433
2600936.2648660345,2600936.2648660345
2584475.2513728435,2584475.2513728435
2568096.972807351,2568096.972807351
2551819.898907194,2551819.898907194
2535517.0824201545,2535517.0824201545
2519245.793681649,2519245.7936816495
2621501.555602623,2621501.555602623
2605550.948233817,2605550.948233817
2589658.581210423,2589658.581210423
2690377.60734575,2690377.60734575
2674871.718273225,2674871.718273225
2659304.1098196,2659304.1098196
2755345.6688108174,2755345.6688108174
2740463.28759371,2740463.28759371
2725657.5178583013,2725657.5178583013
2818171.401098228,2818171.4010982276
2803976.675084857,2803976.675084857
2901979.4810785456,2901979.4810785456
2890997.0185354888,2890997.0185354888
2879800.4398021204,2879800.4398021204
2868492.7830909537,2868492.7830909537
2856717.148251601,2856717.1482516015
2841113.691755213,2841113.691755213
2825616.3540510163,2825616.3540510163
2810341.7331549106,2810341.7331549106
2795313.0822622497,2795313.0822622497
2780215.4372455417,2780215.4372455417
2768746.359316261,2768746.3593162615
2875475.5612352416,2875475.5612352416
2987434.653387524,2987434.653387524
2975020.1867435365,2975020.1867435365
2959762.894597256,2959762.894597256
3065787.151348168,3065787.1513481676
3054035.222509057,3054035.222509057
3042020.913841606,3042020.913841606
3029966.868480741,3029966.868480741
3017912.823119875,3017912.823119875
3129968.863352224,3129968.863352224
3117603.2356375903,3117603.2356375903
3100903.007149212,3100903.0071492116
3084330.315508671,3084330.315508671
3189543.7176140198,3189543.7176140193
3292413.681712677,3292413.681712677
3276391.144477603,3276391.144477603
3260730.546124888,3260730.546124888
3245157.313638281,3245157.313638281
3340684.000775133,3340684.000775133
3325697.964089467,3325697.964089467
3417098.9418838285,3417098.9418838285
3402838.7474843203,3402838.7474843203
3388595.0041650864,3388595.0041650864
3486338.3591628224,3486338.3591628224
3475596.124706611,3475596.124706611
3461244.9166475497,3461244.9166475497
3446953.4114881344,3446953.4114881344
3432786.030506241,3432786.030506241
3418755.103105481,3418755.1031054812
3404756.885229439,3404756.885229439
3390885.553112868,3390885.553112868
3377397.9634506376,3377397.9634506376
3367631.2279499364,3367631.2279499364
3457517.69675868,3457517.6967586796
3447252.8081113314,3447252.8081113314
3437004.954007161,3437004.954007161
3528879.446063606,3528879.446063606
3518657.9147601235,3518657.9147601235
3613755.1131320056,3613755.1131320056
3603291.4532130207,3603291.4532130207
3592996.3212111383,3592996.3212111383
3682751.0784889935,3682751.0784889944
3668800.593758289,3668800.593758289
3655241.680359333,3655241.680359333
3737886.276309382,3737886.276309382
3724818.209236437,3724818.209236437
3711685.5921560414,3711685.5921560414
3698644.258541888,3698644.258541888
3779921.459279461,3779921.459279461
3767043.066451226,3767043.066451226
3757781.517852044,3757781.5178520437
3839644.416084381,3839644.4160843804
3826640.3096201327,3826640.3096201327
3813705.261092297,3813705.2610922973
3804403.131866948,3804403.131866948
3795089.140075303,3795089.1400753027
3880448.269605919,3880448.269605919
3966865.3162450814,3966865.3162450814
3957207.313767947,3957207.313767947
3943879.089268294,3943879.089268294
4025220.767338699,4025220.767338699
4012570.086245546,4012570.086245546
3999931.204282973,3999931.204282973
3987618.117107637,3987618.117107637
3978623.3966301824,3978623.3966301824
4060202.426845644,4060202.4268456437
4051021.766789524,4051021.766789524
4041917.040185024,4041917.040185024
4032763.664551939,4032763.664551939
4110896.088872625,4110896.088872625
4098468.9104096727,4098468.9104096727
4085915.6516126734,4085915.6516126734
4073470.248123754,4073470.2481237534
4061145.332920558,4061145.332920558
4049028.7105589225,4049028.7105589225
4036924.0791888586,4036924.0791888586
4024721.534560843,4024721.534560843
4012973.053901529,4012973.0539015285
4001398.958760376,4001398.958760376
4072841.064274212,4072841.064274212
4061428.982216656,4061428.9822166557
4050139.031820576,4050139.031820576
4041845.150143298,4041845.150143298
4033561.269373735,4033561.269373735
4021943.898851767,4021943.898851767
4092951.185826219,4092951.185826219
4163002.9366787006,4163002.9366787006
4151851.085773071,4151851.085773071
4143628.623611017,4143628.623611017
4135510.30580534,4135510.30580534
4127244.43531094,4127244.43531094
4115960.289211061,4115960.2892110604
4104770.282319299,4104770.282319299
4096609.10222114,4096609.10222114
4088320.0576290567,4088320.0576290567
4163511.929677559,4163511.929677559
4154990.649537482,4154990.649537482
4146401.132950799,4146401.132950799
